Review,Aspect,Sentiment
Makanannya enak dan harganya cukup terjangkau. Saya sangat puas!,Lainnya,Negatif
"The food was delicious, but the service was slow.",Lainnya,Netral
La comida era excelente pero el servicio era muy lento.,Lainnya,Negatif
"Makanan terlalu asin dan porsinya kecil, tidak sesuai dengan harganya.",Makanan,Negatif
Le restaurant était propre et agréable. J'y retournerai!,Lainnya,Positif
El lugar es hermoso y el ambiente es relajante.,Lainnya,Positif
"Saya kecewa dengan tempat ini, makanan datang sangat terlambat.",Makanan,Negatif
Die Bedienung war unfreundlich und langsam.,Lainnya,Negatif
Pelayanannya sangat ramah dan cepat!,Lainnya,Positif
"Layanan pelanggan sangat buruk, saya tidak akan kembali lagi.",Lainnya,Negatif
